2023-04-10 22:10:00,781 :INFO :before_scenario :Executing in QA Environment
2023-04-10 22:10:06,306 :INFO :ActionsClickElement :Actions Click Element  ('id', 'checkBoxOption1')
2023-04-10 22:10:06,531 :INFO :WaitUntilClickable :Wait until element is Clickable  ('id', 'checkBoxOption1')
2023-04-10 22:10:06,542 :INFO :WaitUntilEnabled :Wait Until element is Enabled ('id', 'checkBoxOption1')
2023-04-10 22:10:06,574 :INFO :SteadyWait :Actions Click Element  ('id', 'checkBoxOption1')
2023-04-10 22:10:07,049 :INFO :WaitUntilVisible :Wait until element is Visible  ('id', 'checkBoxOption')
2023-04-10 22:10:07,087 :INFO :WaitUntilVisible :Wait until element is Visible  ('tag name', 'h1')
2023-04-10 22:10:07,087 :INFO :WaitUntilVisible :Wait until element is Visible  ('tag name', 'h1')
2023-04-10 22:10:07,122 :INFO :SteadyWait :Actions Click Element  ('tag name', 'h1')
2023-04-10 22:10:07,122 :INFO :SteadyWait :Actions Click Element  ('tag name', 'h1')
2023-04-10 22:10:07,238 :INFO :JavaScriptClickElement :JavaScript Executor Click Element ('xpath', "//*[@value='radio2']")
2023-04-10 22:10:07,259 :INFO :WaitUntilClickable :Wait until element is Clickable  ('xpath', "//*[@value='radio2']")
2023-04-10 22:10:07,259 :INFO :WaitUntilClickable :Wait until element is Clickable  ('xpath', "//*[@value='radio2']")
2023-04-10 22:10:07,290 :INFO :WaitUntilEnabled :Wait Until element is Enabled ('xpath', "//*[@value='radio2']")
2023-04-10 22:10:07,290 :INFO :WaitUntilEnabled :Wait Until element is Enabled ('xpath', "//*[@value='radio2']")
2023-04-10 22:10:07,323 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@value='radio2']")
2023-04-10 22:10:07,323 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@value='radio2']")
2023-04-10 22:10:07,323 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@value='radio2']")
2023-04-10 22:10:07,504 :INFO :JavaScriptSetTextBox :JavaScript Fill text box ('xpath', "//*[@placeholder='Type to Select Countries']") India
2023-04-10 22:10:07,539 :INFO :WaitUntilVisible :Wait until element is Visible  ('xpath', "//*[@placeholder='Type to Select Countries']")
2023-04-10 22:10:07,539 :INFO :WaitUntilVisible :Wait until element is Visible  ('xpath', "//*[@placeholder='Type to Select Countries']")
2023-04-10 22:10:07,539 :INFO :WaitUntilVisible :Wait until element is Visible  ('xpath', "//*[@placeholder='Type to Select Countries']")
2023-04-10 22:10:07,555 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@placeholder='Type to Select Countries']")
2023-04-10 22:10:07,555 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@placeholder='Type to Select Countries']")
2023-04-10 22:10:07,555 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@placeholder='Type to Select Countries']")
2023-04-10 22:10:07,555 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@placeholder='Type to Select Countries']")
2023-04-10 22:10:07,789 :INFO :JavaScriptSetTextBox :JavaScript Fill text box ('xpath', "//input[@id='displayed-text']") Maninder
2023-04-10 22:10:07,789 :INFO :JavaScriptSetTextBox :JavaScript Fill text box ('xpath', "//input[@id='displayed-text']") Maninder
2023-04-10 22:10:07,804 :INFO :WaitUntilVisible :Wait until element is Visible  ('xpath', "//input[@id='displayed-text']")
2023-04-10 22:10:07,804 :INFO :WaitUntilVisible :Wait until element is Visible  ('xpath', "//input[@id='displayed-text']")
2023-04-10 22:10:07,804 :INFO :WaitUntilVisible :Wait until element is Visible  ('xpath', "//input[@id='displayed-text']")
2023-04-10 22:10:07,804 :INFO :WaitUntilVisible :Wait until element is Visible  ('xpath', "//input[@id='displayed-text']")
2023-04-10 22:10:07,837 :INFO :SteadyWait :Actions Click Element  ('xpath', "//input[@id='displayed-text']")
2023-04-10 22:10:07,837 :INFO :SteadyWait :Actions Click Element  ('xpath', "//input[@id='displayed-text']")
2023-04-10 22:10:07,837 :INFO :SteadyWait :Actions Click Element  ('xpath', "//input[@id='displayed-text']")
2023-04-10 22:10:07,837 :INFO :SteadyWait :Actions Click Element  ('xpath', "//input[@id='displayed-text']")
2023-04-10 22:10:07,837 :INFO :SteadyWait :Actions Click Element  ('xpath', "//input[@id='displayed-text']")
2023-04-10 22:10:07,994 :INFO :DoubleClickElement :Double Click Element ('xpath', "//*[@value='radio2']")
2023-04-10 22:10:08,038 :INFO :WaitUntilClickable :Wait until element is Clickable  ('xpath', "//*[@value='radio2']")
2023-04-10 22:10:08,038 :INFO :WaitUntilClickable :Wait until element is Clickable  ('xpath', "//*[@value='radio2']")
2023-04-10 22:10:08,038 :INFO :WaitUntilClickable :Wait until element is Clickable  ('xpath', "//*[@value='radio2']")
2023-04-10 22:10:08,054 :INFO :WaitUntilEnabled :Wait Until element is Enabled ('xpath', "//*[@value='radio2']")
2023-04-10 22:10:08,054 :INFO :WaitUntilEnabled :Wait Until element is Enabled ('xpath', "//*[@value='radio2']")
2023-04-10 22:10:08,054 :INFO :WaitUntilEnabled :Wait Until element is Enabled ('xpath', "//*[@value='radio2']")
2023-04-10 22:10:08,089 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@value='radio2']")
2023-04-10 22:10:08,089 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@value='radio2']")
2023-04-10 22:10:08,089 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@value='radio2']")
2023-04-10 22:10:08,089 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@value='radio2']")
2023-04-10 22:10:08,089 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@value='radio2']")
2023-04-10 22:10:08,089 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@value='radio2']")
2023-04-10 22:10:10,897 :INFO :SelectFromDropdownByText :select  Option3 from dropdown ('id', 'dropdown-class-example')
